user_id,epoch,budget,epoch_end_deposit,id,address,amount,projects_supported,category,ga,ga_e6,ga_celo,ga_shefi,is_donor,allocator,non_allocator,allocation_ratio,user_type,status
8329,1,0.000407068175665488,389.3847680932587,8329,0x76d2ddce6b781e66c4b184c82fbf4f94346cfb0d,,,1-XS,0,0,0,0,0,0,1,,0,organic
216,1,0.000108970964874536,102.8365130171458,216,0x02e4cc9fff7566563618fb21b3bb10eab4b3d726,0.000108970964874536,4.0,1-XS,0,0,0,0,1,1,0,1.0,3,organic
10167,1,0.000104618514288616,101.0,10167,0x7dd8030f9d33af4a40ee074f990892e825132e61,,,1-XS,0,0,0,0,0,0,1,,0,organic
12662,1,8.1895972202959e-05,101.0,12662,0x47ea9e812f39bc26f95cbf1fc36230558492133d,8.1895972202959e-05,2.0,1-XS,0,0,0,0,1,1,0,1.0,3,organic
9501,1,0.00010139079056936,100.0,9501,0x752a1ec2358082d1e648e4fdaccc41d321d9ff6b,,,1-XS,0,0,0,0,0,0,1,,0,organic
77,1,0.025441633742369397,80000.0,77,0x81a6383041593c556d1c8e69e2749b35b5008f09,0.023151886705556148,4.0,4-L,0,0,0,0,1,1,0,0.91,2,organic
12731,1,1.2781657561752873,1794853.2046338199,12731,0x4aa51a723882ee676fec444d4561c5ee16c339e9,,,5-XL,0,0,0,0,0,0,1,,0,organic
10383,1,0.000113568534063557,110.0,10383,0x7a62729d31945904deb5cdd646532e4683ed70c0,0.00011356853406355699,10.0,1-XS,0,0,0,0,1,1,0,1.0,3,organic
8220,1,0.001045740089637781,1000.0,8220,0x27259b0f4209e76f8c6cf27106c9ff83bdc2e831,0.0,0.0,2-S,0,0,0,0,0,1,0,0.0,1,organic
6895,1,0.001045598214186104,999.0,6895,0x4506568e4733f3062cfa9cdb952ba7904fc7d8bb,0.001045598214186104,5.0,2-S,0,0,0,0,1,1,0,1.0,3,organic
12452,1,0.000108657022181206,113.77,12452,0x9a387307f7508de113092bafc5cb4b3ae0706521,,,1-XS,0,0,0,0,0,0,1,,0,organic
996,1,0.000117862720013961,111.875,996,0xa1d5d2d931b532a0503e97f540f65ed256f374e6,0.000117862720013961,12.0,1-XS,0,0,0,0,1,1,0,1.0,3,organic
475,1,0.000504914090313065,500.0,475,0x6b759bf480407d19c8903c16023c706868c29a2a,,,2-S,0,0,0,0,0,0,1,,0,organic
6349,1,0.00102044785990303,1000.0,6349,0xb69951a0642b55cd5731535ed5b290fa49d3454a,0.00102044785990303,10.0,2-S,0,0,0,0,1,1,0,1.0,3,organic
12419,1,0.000911846611448702,1000.0,12419,0xa25207bb8f8ec2423e2ddf2686a0cd2048352f3e,,,2-S,0,0,0,0,0,0,1,,0,organic
7088,1,0.002571076592353593,3230.0,7088,0x9cf251a782ce7310d5bec0fe0a1c2b826d962545,0.001002719871017901,5.0,3-M,0,0,0,0,1,1,0,0.39,2,organic
13056,1,2.8568576030497e-05,1000.0,13056,0x2fee53687906ba239602ed42cceee2ac8a4ada36,2.8568576030496998e-05,7.0,2-S,0,0,0,0,1,1,0,1.0,3,organic
1097,1,0.000104759300780766,100.0,1097,0x0743542070891051861f8d0a4550f97b43b0b89a,,,1-XS,0,0,0,0,0,0,1,,0,organic
10159,1,0.000104635622280013,101.0,10159,0x686a484bc2e2be79f358c7055e8539a69413a3ed,,,1-XS,0,0,0,0,0,0,1,,0,organic
2612,1,0.000234125051143903,222.14772016999999,2612,0x022ca32d31da3ef85922aafd9ad29c5b2418172c,,,1-XS,0,0,0,0,0,0,1,,0,organic
204,1,0.000115753257175016,109.18144972097397,204,0x8124efc94c951cf41d4b0b42794c678458a00726,0.000115753257175016,4.0,1-XS,0,0,0,0,1,1,0,1.0,3,organic
12489,1,0.000940491445631305,1000.0,12489,0x954f716e6de059360d278b773138f8e046696721,0.000479650637271965,1.0,2-S,0,0,0,0,1,1,0,0.51,2,organic
10354,1,0.000113588075430209,110.0,10354,0x6cab1406d2e04cc3b442f7d585a85bacfb07ac6b,0.00011358807543020899,10.0,1-XS,0,0,0,0,1,1,0,1.0,3,organic
1303,1,0.000114945658737807,121.863,1303,0x316491ac016b00fa774062bc278f7c9b21adf627,,,1-XS,0,0,0,0,0,0,1,,0,organic
6333,1,0.001020594523437101,1000.0,6333,0x744c6eed427af293b0106b46700fddd3c9f62eef,0.001020594523437101,10.0,2-S,0,0,0,0,1,1,0,1.0,3,organic
2877,1,0.001053754941922233,1000.0,2877,0x1e90474d2e83e7b7dd45553156beb316845e66a4,0.001053754941922233,3.0,2-S,0,0,0,0,1,1,0,1.0,3,organic
6470,1,0.001034233590022407,990.0,6470,0x3bece46ea4cb308b1b8d8f50cb1728d6a4a20808,,,2-S,0,0,0,0,0,0,1,,0,organic
2,1,0.001059166860757519,1000.0,2,0x90c32e6b29794fd7f5bba2bbee74e924078b3f9b,0.001059166860757519,8.0,2-S,0,0,0,0,1,1,0,1.0,3,organic
3959,1,0.000138944770845936,145.0,3959,0x8c79a3252d1ca011dd1be1d8d9ddbdaa9f445d14,,,1-XS,0,0,0,0,0,0,1,,0,organic
662,1,0.000472143664462966,447.9643539062765,662,0x3f9d06d42cb2b04ada2d9a8cdfbf63c5206d7deb,0.000472143664462966,2.0,1-XS,0,0,0,0,1,1,0,1.0,3,organic
1269,1,0.000105408131992763,100.0,1269,0x4831ddb6502ca45dbeedf58b47292061cdb6050b,,,1-XS,0,0,0,0,0,0,1,,0,organic
8951,1,0.001044399460995356,1000.0,8951,0x973375b099943cddfd390022cea90d4f1d0c493c,,,2-S,0,0,0,0,0,0,1,,0,organic
10607,1,0.001029658742979415,1000.0,10607,0x02766e3d25bda6badcd34d7bcea5bf054990444a,,,2-S,0,0,0,0,0,0,1,,0,organic
12400,1,0.000970127807931572,1000.0,12400,0xb68da7fbf71383afab240839287878539cfff20b,0.0,0.0,2-S,0,0,0,0,0,1,0,0.0,1,organic
130,1,0.10676983060768862,99999.99999999999,130,0x3085051f89666e7124e7ab95b693fc1e09770907,0.10676983060768863,6.0,4-L,0,0,0,0,1,1,0,1.0,3,organic
777,1,0.000105439530383155,100.0,777,0x07506a5f48d71fdb34d3900fb086d43ef1b58ff9,,,1-XS,0,0,0,0,0,0,1,,0,organic
12622,1,0.002243966436207916,2561.1320983508695,12622,0x55dffa17578e6bace42e4bf8687a11a85ccfef97,0.002243966436207916,1.0,3-M,0,0,0,0,1,1,0,1.0,3,organic
6318,1,0.001020621377323621,1000.0,6318,0x1bbeac736875c5043486a8a4374e6b5616ec8883,0.001020621377323621,10.0,2-S,0,0,0,0,1,1,0,1.0,3,organic
10932,1,0.000102923940921298,100.0,10932,0x014607f2d6477badd9d74bf2c5d6356e29a9b957,,,1-XS,0,0,0,0,0,0,1,,0,organic
165,1,0.5325477723840089,500000.0,165,0x9705fe3586a7d768fee061aafe9384b1d4b8f2d8,0.03195286634304053,2.0,5-XL,0,0,0,0,1,1,0,0.06,2,organic
1031,1,0.001002550777379191,1000.0,1031,0x6c3f373baec5d2d0fb3c82c4f3db5e48873ae363,,,2-S,0,0,0,0,0,0,1,,0,organic
5250,1,0.000104941080935671,100.0,5250,0x58d7d9c971a613117e493062bec1a6a5484f2780,0.000104941080935671,4.0,1-XS,0,0,0,0,1,1,0,1.0,3,organic
